ticker,cik,name,cohort,year1,year2,filing_date,trade_start_date,nominal_1m,nominal_3m,nominal_6m,nominal_12m,excess_kre_1m,excess_kre_3m,excess_kre_6m,excess_kre_12m,note
FHN,0000036966,First Horizon Corp,crisis_distressed,2020,2021,2022-03-04,2022-03-05,0.0064,-0.0245,-0.0253,-0.0658,0.0028,0.0121,0.0578,0.0522,
FHN,0000036966,First Horizon Corp,crisis_distressed,2021,2022,2023-03-01,2023-03-02,-0.178,-0.5169,-0.4121,-0.3125,0.0804,-0.1892,-0.1726,-0.1386,
FHN,0000036966,First Horizon Corp,crisis_distressed,2022,2023,2024-02-23,2024-02-24,0.0764,0.1507,0.2075,0.5724,0.051,0.1108,-0.0207,0.2415,
RF,0001281761,Regions Financial Corp,crisis_distressed,2019,2020,2021-02-24,2021-02-25,-0.0077,0.0788,-0.0044,0.1158,-0.0395,0.0168,-0.0187,0.0198,
RF,0001281761,Regions Financial Corp,crisis_distressed,2020,2021,2022-02-24,2022-02-25,-0.0446,-0.1035,-0.0814,-0.0067,-0.0119,0.0349,0.0407,0.1394,
RF,0001281761,Regions Financial Corp,crisis_distressed,2021,2022,2023-02-24,2023-02-25,-0.2059,-0.2288,-0.1764,-0.1627,0.0768,0.1122,0.093,0.0401,
RF,0001281761,Regions Financial Corp,crisis_distressed,2022,2023,2024-02-23,2024-02-24,0.1065,0.0626,0.2824,0.3433,0.081,0.0227,0.0542,0.0124,
TFC,0000092230,Truist Financial Corp,regional_midcap,2019,2020,2021-02-24,2021-02-25,0.0123,0.0418,-0.0026,0.0412,-0.0195,-0.0202,-0.017,-0.0548,
TFC,0000092230,Truist Financial Corp,regional_midcap,2020,2021,2022-02-23,2022-02-24,0.0152,-0.1874,-0.1444,-0.1689,-0.0067,-0.0692,-0.0857,-0.0636,
TFC,0000092230,Truist Financial Corp,regional_midcap,2021,2022,2023-02-28,2023-03-01,-0.2752,-0.3351,-0.3289,-0.1924,0.0091,0.0226,-0.0666,0.0022,
TFC,0000092230,Truist Financial Corp,regional_midcap,2022,2023,2024-02-27,2024-02-28,0.1198,0.0905,0.2952,0.3697,0.0526,0.0857,0.07,0.0425,
PNC,0000713676,PNC Financial Services Group,regional_midcap,2019,2020,2021-02-26,2021-02-27,0.0263,0.1321,0.1387,0.1802,0.0152,0.065,0.1238,0.0406,
PNC,0000713676,PNC Financial Services Group,regional_midcap,2020,2021,2022-02-25,2022-02-26,-0.026,-0.1142,-0.1821,-0.1922,-0.0057,0.016,-0.0413,-0.0359,
PNC,0000713676,PNC Financial Services Group,regional_midcap,2021,2022,2023-02-22,2023-02-23,-0.2147,-0.2299,-0.2373,-0.0389,0.0736,0.1139,0.0374,0.1652,
PNC,0000713676,PNC Financial Services Group,regional_midcap,2022,2023,2024-02-21,2024-02-22,0.0696,0.0874,0.227,0.3298,0.0511,0.0386,0.0628,0.0196,
FITB,0000035527,Fifth Third Bancorp,regional_midcap,2019,2020,2021-02-26,2021-02-27,0.0666,0.1791,0.1119,0.3667,0.0555,0.112,0.097,0.2271,
FITB,0000035527,Fifth Third Bancorp,regional_midcap,2020,2021,2022-02-25,2022-02-26,-0.0355,-0.1771,-0.2693,-0.2162,-0.0152,-0.0469,-0.1284,-0.06,
FITB,0000035527,Fifth Third Bancorp,regional_midcap,2021,2022,2023-02-24,2023-02-25,-0.2698,-0.291,-0.2667,-0.0222,0.0129,0.05,0.0027,0.1806,
FITB,0000035527,Fifth Third Bancorp,regional_midcap,2022,2023,2024-02-27,2024-02-28,0.119,0.0904,0.2815,0.3302,0.0518,0.0856,0.0564,0.003,
MTB,0000036270,M&T Bank Corporation,regional_midcap,2019,2020,2021-02-22,2021-02-23,-0.0663,0.021,-0.1289,0.1802,-0.05,-0.0496,-0.1279,0.0439,
MTB,0000036270,M&T Bank Corporation,regional_midcap,2020,2021,2022-02-16,2022-02-17,-0.0045,-0.1021,0.0478,-0.1255,0.0214,0.0791,0.1273,0.0132,
MTB,0000036270,M&T Bank Corporation,regional_midcap,2021,2022,2023-02-22,2023-02-23,-0.2507,-0.208,-0.1679,-0.0876,0.0376,0.1358,0.1069,0.1165,
MTB,0000036270,M&T Bank Corporation,regional_midcap,2022,2023,2024-02-21,2024-02-22,0.0399,0.1195,0.2152,0.4268,0.0214,0.0707,0.051,0.1165,
HBAN,0000049196,Huntington Bancshares,regional_midcap,2019,2020,2021-02-26,2021-02-27,0.0209,0.0113,0.0084,0.0203,0.0098,-0.0558,-0.0065,-0.1194,
HBAN,0000049196,Huntington Bancshares,regional_midcap,2020,2021,2022-02-18,2022-02-19,-0.0435,-0.1379,-0.1135,-0.0031,-0.0017,0.0182,-0.0102,0.1336,
HBAN,0000049196,Huntington Bancshares,regional_midcap,2021,2022,2023-02-17,2023-02-18,-0.2807,-0.2895,-0.271,-0.0963,0.0095,0.0495,0.017,0.0993,
HBAN,0000049196,Huntington Bancshares,regional_midcap,2022,2023,2024-02-16,2024-02-17,0.0564,0.1112,0.1164,0.3231,0.0382,0.059,-0.029,0.0139,
RF,0001281761,Regions Financial Corp,regional_midcap,2019,2020,2021-02-24,2021-02-25,-0.0077,0.0788,-0.0044,0.1158,-0.0395,0.0168,-0.0187,0.0198,
RF,0001281761,Regions Financial Corp,regional_midcap,2020,2021,2022-02-24,2022-02-25,-0.0446,-0.1035,-0.0814,-0.0067,-0.0119,0.0349,0.0407,0.1394,
RF,0001281761,Regions Financial Corp,regional_midcap,2021,2022,2023-02-24,2023-02-25,-0.2059,-0.2288,-0.1764,-0.1627,0.0768,0.1122,0.093,0.0401,
RF,0001281761,Regions Financial Corp,regional_midcap,2022,2023,2024-02-23,2024-02-24,0.1065,0.0626,0.2824,0.3433,0.081,0.0227,0.0542,0.0124,
CFG,0000759944,Citizens Financial Group,regional_midcap,2019,2020,2021-02-23,2021-02-24,-0.0492,0.052,-0.0455,0.1558,-0.0309,0.0369,-0.0202,0.0727,
CFG,0000759944,Citizens Financial Group,regional_midcap,2020,2021,2022-02-23,2022-02-24,-0.0353,-0.2077,-0.217,-0.1382,-0.0572,-0.0895,-0.1583,-0.0329,
CFG,0000759944,Citizens Financial Group,regional_midcap,2021,2022,2023-02-17,2023-02-18,-0.262,-0.3423,-0.3444,-0.2147,0.0282,-0.0032,-0.0564,-0.019,
CFG,0000759944,Citizens Financial Group,regional_midcap,2022,2023,2024-02-16,2024-02-17,0.1106,0.1773,0.3427,0.4899,0.0924,0.1252,0.1973,0.1807,
EWBC,0001070412,East West Bancorp,regional_midcap,2019,2020,2021-02-09,2021-02-10,0.1641,0.113,0.1563,0.3675,-0.003,-0.0038,0.0438,0.1103,
EWBC,0001070412,East West Bancorp,regional_midcap,2020,2021,2022-02-10,2022-02-11,-0.1486,-0.2043,-0.139,-0.1143,-0.1002,-0.0246,-0.0647,0.0123,
EWBC,0001070412,East West Bancorp,regional_midcap,2021,2022,2023-02-09,2023-02-10,-0.2608,-0.4181,-0.2531,-0.0743,0.0188,-0.0004,-0.0103,0.1561,
EWBC,0001070412,East West Bancorp,regional_midcap,2022,2023,2024-02-08,2024-02-09,0.1004,0.1204,0.128,0.4351,0.0804,0.0602,0.0183,0.0705,
FCNCA,0000798941,First Citizens BancShares,regional_midcap,2019,2020,2021-02-24,2021-02-25,0.1296,0.1385,0.1507,-0.0158,0.0978,0.0765,0.1363,-0.1118,
FCNCA,0000798941,First Citizens BancShares,regional_midcap,2020,2021,2022-02-25,2022-02-26,-0.1032,-0.1194,0.0309,-0.0791,-0.0828,0.0108,0.1717,0.0771,
FCNCA,0000798941,First Citizens BancShares,regional_midcap,2021,2022,2023-02-24,2023-02-25,0.2359,0.7175,0.8434,1.12,0.5185,1.0586,1.1128,1.3227,
FCNCA,0000798941,First Citizens BancShares,regional_midcap,2022,2023,2024-02-23,2024-02-24,0.0207,0.1364,0.2458,0.3023,-0.0048,0.0966,0.0176,-0.0286,
CFR,0000039899,Cullen/Frost Bankers,regional_midcap,2019,2020,2021-03-01,2021-03-02,0.0293,0.1624,0.085,0.3004,0.0177,0.0747,0.0839,0.2121,
CFR,0000039899,Cullen/Frost Bankers,regional_midcap,2020,2021,2022-05-02,2022-05-03,-0.0255,-0.0092,0.1914,-0.28,-0.0437,-0.0186,0.1727,0.1367,
